run_id,case_id,operator,variant,measurement_level,cache_mode,process_runs,records,raw_samples,median_of_process_medians_us,all_samples_p50_us,all_samples_p95_us,all_samples_mean_us,all_samples_stddev_us,all_samples_cv,promotion_baseline
20260803T181855Z-86cfbe2a805d-rtx3080_topk_gate_release_v2,topk_gate.release.cub_pair.e15_t16,topk_gate,cuda_vector_pair_top2_v3,L1_kernel_body,warm,5,5,150,8.87295991182,8.64767998457,10.397695839434999,8.697036778928334,0.8012796570364487,0.09213249034174878,False
20260803T181855Z-86cfbe2a805d-rtx3080_topk_gate_release_v2,topk_gate.release.cub_pair.e15_t2,topk_gate,cub_block_radix_top2,L1_kernel_body,warm,5,5,150,12.7283197641,12.7283203602,15.030783891704996,14.057881585759999,14.476246419431895,1.029760162021544,False
20260803T181855Z-86cfbe2a805d-rtx3080_topk_gate_release_v2,topk_gate.release.cub_pair.e15_t2,topk_gate,cuda_local_pair_two_reduce_top2_v4,L1_kernel_body,warm,5,5,150,8.70399981737,8.688639998435,21.591551899899997,11.159483718872666,5.210999779157368,0.4669570663331533,False
20260803T181855Z-86cfbe2a805d-rtx3080_topk_gate_release_v2,topk_gate.release.cub_pair.e15_t2,topk_gate,cuda_naive,L1_kernel_body,warm,5,5,150,8.57087999582,8.606719970705,11.8123525381,9.047586150963333,1.3946130890818669,0.15414200714003445,True
20260803T181855Z-86cfbe2a805d-rtx3080_topk_gate_release_v2,topk_gate.release.cub_pair.e15_t2,topk_gate,cuda_subwarp_pair_top2_v2,L1_kernel_body,warm,5,5,150,8.39168012142,8.36847990751,9.1100158989385,8.526481076081934,1.8433790086047723,0.21619458158134292,False
20260803T181855Z-86cfbe2a805d-rtx3080_topk_gate_release_v2,topk_gate.release.cub_pair.e15_t2,topk_gate,cuda_vector_pair_top2_v3,L1_kernel_body,warm,5,5,150,8.76543998718,8.78592014313,21.45382392409,11.1386624177302,5.1691699968697975,0.4640745722432221,False
20260803T181855Z-86cfbe2a805d-rtx3080_topk_gate_release_v2,topk_gate.release.cub_pair.e15_t2048,topk_gate,cub_block_radix_top2,L1_kernel_body,warm,5,5,150,45.040640831,44.800000190700004,46.6007049084,42.310724322004,4.3719613089376,0.10332986208567291,False
20260803T181855Z-86cfbe2a805d-rtx3080_topk_gate_release_v2,topk_gate.release.cub_pair.e15_t2048,topk_gate,cuda_local_pair_two_reduce_top2_v4,L1_kernel_body,warm,5,5,150,8.60159993172,8.616960048675,21.243391633,11.030459713936068,5.121753085474046,0.4643281620441564,False
20260803T181855Z-86cfbe2a805d-rtx3080_topk_gate_release_v2,topk_gate.release.cub_pair.e15_t2048,topk_gate,cuda_naive,L1_kernel_body,warm,5,5,150,8.91391992569,8.975359797475,21.559295654289997,11.5354282577822,5.633456936827112,0.4883613170604729,True
20260803T181855Z-86cfbe2a805d-rtx3080_topk_gate_release_v2,topk_gate.release.cub_pair.e15_t2048,topk_gate,cuda_subwarp_pair_top2_v2,L1_kernel_body,warm,5,5,150,8.59135985374,8.58111977577,21.833727359744998,11.1063722650204,5.326824546258319,0.4796187647189885,False
20260803T181855Z-86cfbe2a805d-rtx3080_topk_gate_release_v2,topk_gate.release.cub_pair.e15_t2048,topk_gate,cuda_vector_pair_top2_v3,L1_kernel_body,warm,5,5,150,8.38144004345,8.473600149155,21.6371202469,11.0234282930722,5.303887541263998,0.4811468265818254,False
20260803T181855Z-86cfbe2a805d-rtx3080_topk_gate_release_v2,topk_gate.release.cub_pair.e15_t256,topk_gate,cub_block_radix_top2,L1_kernel_body,warm,5,5,150,11.8937599659,11.8937599659,13.361664295204994,12.072072521848002,0.622945512229013,0.05160220095609996,False
20260803T181855Z-86cfbe2a805d-rtx3080_topk_gate_release_v2,topk_gate.release.cub_pair.e15_t256,topk_gate,cuda_local_pair_two_reduce_top2_v4,L1_kernel_body,warm,5,5,150,8.52479994297,8.540160059929999,21.3606405258,11.005064507322466,5.166581514541186,0.4694730786088065,False
20260803T181855Z-86cfbe2a805d-rtx3080_topk_gate_release_v2,topk_gate.release.cub_pair.e15_t256,topk_gate,cuda_naive,L1_kernel_body,warm,5,5,150,8.87295991182,8.944640159605001,51.371518850335,14.467549924055799,13.731094149121265,0.9490960267080193,True
20260803T181855Z-86cfbe2a805d-rtx3080_topk_gate_release_v2,topk_gate.release.cub_pair.e15_t256,topk_gate,cuda_subwarp_pair_top2_v2,L1_kernel_body,warm,5,5,150,8.24319988489,8.330240249635,20.790880441699997,10.807492295901934,5.0206500849466575,0.46455273318588675,False
20260803T181855Z-86cfbe2a805d-rtx3080_topk_gate_release_v2,topk_gate.release.cub_pair.e15_t256,topk_gate,cuda_vector_pair_top2_v3,L1_kernel_body,warm,5,5,150,8.12543988228,8.432639837265,21.131775856035,10.9062143961578,5.095489448775611,0.46720972682975354,False
20260803T181855Z-86cfbe2a805d-rtx3080_topk_gate_release_v2,topk_gate.release.cub_pair.e15_t32,topk_gate,cub_block_radix_top2,L1_kernel_body,warm,5,5,150,13.4758400917,13.4348797798,23.498239874819994,14.932514127093333,3.9849299065299997,0.26686262424488866,False
20260803T181855Z-86cfbe2a805d-rtx3080_topk_gate_release_v2,topk_gate.release.cub_pair.e15_t32,topk_gate,cuda_local_pair_two_reduce_top2_v4,L1_kernel_body,warm,5,5,150,8.67327988148,8.75519990921,21.2275195122,11.1081471880276,5.062895396651598,0.45578216699436647,False
20260803T181855Z-86cfbe2a805d-rtx3080_topk_gate_release_v2,topk_gate.release.cub_pair.e15_t32,topk_gate,cuda_naive,L1_kernel_body,warm,5,5,150,8.6937597394,8.719360232355,21.171711087200002,11.1192064046852,5.019009833622669,0.45138201873002864,True
20260803T181855Z-86cfbe2a805d-rtx3080_topk_gate_release_v2,topk_gate.release.cub_pair.e15_t32,topk_gate,cuda_subwarp_pair_top2_v2,L1_kernel_body,warm,5,5,150,8.68351995945,8.750079870225001,21.602815985644998,11.1015253225948,5.2261782907154535,0.4707621825695138,False
20260803T181855Z-86cfbe2a805d-rtx3080_topk_gate_release_v2,topk_gate.release.cub_pair.e15_t32,topk_gate,cuda_vector_pair_top2_v3,L1_kernel_body,warm,5,5,150,8.53504002094,8.693760037419999,32.830463647845,13.3786282738064,9.586797155474667,0.7165754933369632,False
20260803T181855Z-86cfbe2a805d-rtx3080_topk_gate_release_v2,topk_gate.release.cub_pair.e15_t4,topk_gate,cub_block_radix_top2,L1_kernel_body,warm,5,5,150,12.779519558,13.0304002762,31.50847995278498,15.822233541807334,6.111861885265699,0.3862831293139639,False
20260803T181855Z-86cfbe2a805d-rtx3080_topk_gate_release_v2,topk_gate.release.cub_pair.e15_t4,topk_gate,cuda_local_pair_two_reduce_top2_v4,L1_kernel_body,warm,5,5,150,8.56575995684,8.463360071185,9.290752083064499,8.446088552475134,0.5518151978663918,0.06533381629117326,False
20260803T181855Z-86cfbe2a805d-rtx3080_topk_gate_release_v2,topk_gate.release.cub_pair.e15_t4,topk_gate,cuda_naive,L1_kernel_body,warm,5,5,150,8.57088029385,8.555520176889999,62.256640672705,15.035118945440399,17.56020822921044,1.167946079637488,True
20260803T181855Z-86cfbe2a805d-rtx3080_topk_gate_release_v2,topk_gate.release.cub_pair.e15_t4,topk_gate,cuda_subwarp_pair_top2_v2,L1_kernel_body,warm,5,5,150,8.33024024963,8.43775987625,58.055167675015,18.069776995976532,19.579461460669933,1.0835474873336595,False
20260803T181855Z-86cfbe2a805d-rtx3080_topk_gate_release_v2,topk_gate.release.cub_pair.e15_t4,topk_gate,cuda_vector_pair_top2_v3,L1_kernel_body,warm,5,5,150,8.89343976974,8.816639781,21.1251211166,11.145284279185866,4.972653529599169,0.4461665943223845,False
20260803T181855Z-86cfbe2a805d-rtx3080_topk_gate_release_v2,topk_gate.release.cub_pair.e15_t4096,topk_gate,cub_block_radix_top2,L1_kernel_body,warm,5,5,150,66.4678382874,66.4831995964,74.5779180527,67.758216190342,2.9421085157981075,0.04342069023088398,False
20260803T181855Z-86cfbe2a805d-rtx3080_topk_gate_release_v2,topk_gate.release.cub_pair.e15_t4096,topk_gate,cuda_local_pair_two_reduce_top2_v4,L1_kernel_body,warm,5,5,150,10.4191994667,10.43967962265,33.53344023229,14.998596302669666,9.244672290584676,0.6163691657558098,False
20260803T181855Z-86cfbe2a805d-rtx3080_topk_gate_release_v2,topk_gate.release.cub_pair.e15_t4096,topk_gate,cuda_naive,L1_kernel_body,warm,5,5,150,8.73983979225,8.72448027134,21.2275195122,11.1031637787832,5.0476077814593525,0.45460986454191726,True
20260803T181855Z-86cfbe2a805d-rtx3080_topk_gate_release_v2,topk_gate.release.cub_pair.e15_t4096,topk_gate,cuda_subwarp_pair_top2_v2,L1_kernel_body,warm,5,5,150,10.4550397396,10.43967962265,10.9875202179,10.448895990848067,0.3894809171466017,0.03727483913015677,False
20260803T181855Z-86cfbe2a805d-rtx3080_topk_gate_release_v2,topk_gate.release.cub_pair.e15_t4096,topk_gate,cuda_vector_pair_top2_v3,L1_kernel_body,warm,5,5,150,10.4447996616,10.3167998791,10.958847999545,10.008917315799,0.7027201340265162,0.07020940545859819,False
20260803T181855Z-86cfbe2a805d-rtx3080_topk_gate_release_v2,topk_gate.release.cub_pair.e15_t512,topk_gate,cub_block_radix_top2,L1_kernel_body,warm,5,5,150,14.3411195278,14.19263958935,24.538623571414995,15.913983949027333,3.765820893937042,0.23663596155425368,False
20260803T181855Z-86cfbe2a805d-rtx3080_topk_gate_release_v2,topk_gate.release.cub_pair.e15_t512,topk_gate,cuda_local_pair_two_reduce_top2_v4,L1_kernel_body,warm,5,5,150,8.38656008244,8.4582400322,9.462783932687,8.506436292330667,0.5595821082750331,0.06578337732095257,False
20260803T181855Z-86cfbe2a805d-rtx3080_topk_gate_release_v2,topk_gate.release.cub_pair.e15_t512,topk_gate,cuda_naive,L1_kernel_body,warm,5,5,150,9.05727982521,9.0623998642,21.3299202919,11.3683797081306,5.002836367625801,0.4400659105402506,True
20260803T181855Z-86cfbe2a805d-rtx3080_topk_gate_release_v2,topk_gate.release.cub_pair.e15_t512,topk_gate,cuda_subwarp_pair_top2_v2,L1_kernel_body,warm,5,5,150,8.20735991001,8.24320018291,9.1909122467035,8.331878427665133,0.628226359673555,0.07540032720443866,False
20260803T181855Z-86cfbe2a805d-rtx3080_topk_gate_release_v2,topk_gate.release.cub_pair.e15_t512,topk_gate,cuda_vector_pair_top2_v3,L1_kernel_body,warm,5,5,150,8.3046400547,8.371199965475,35.033088803305,13.4111232241002,10.524798552378842,0.7847812876303646,False
