study_id,operator,case_id,measurement_level,cache_mode,candidate_variant,baseline_variant,candidate_p50_us,baseline_p50_us,p50_speedup,candidate_p95_us,baseline_p95_us,p95_speedup,candidate_cv,baseline_cv,candidate_workspace_bytes,baseline_workspace_bytes,process_direction_wins,process_direction_pairs
histogram_v2_vs_reference_envelope,histogram,histogram.v2.r1048576_e64.single_hot,L2_operator_steady,warm,cuda_candidate_v2,cuda_candidate_v1,18.1248,18.176,1.002825,22.48192,22.18496,0.986791,0.262849,0.204418,0,0,3,5
histogram_v2_vs_reference_envelope,histogram,histogram.v2.r1048576_e64.uniform,L2_operator_steady,warm,cuda_candidate_v2,cuda_candidate_v1,18.0224,17.3568,0.963068,23.04,22.78912,0.989111,0.348355,0.256307,0,0,2,5
histogram_v2_vs_reference_envelope,histogram,histogram.v2.r1048576_e64.zipf14,L2_operator_steady,warm,cuda_candidate_v2,cuda_candidate_v1,18.4832,17.5104,0.947368,22.3232,23.45984,1.050917,0.225232,0.16338,0,0,1,5
histogram_v2_vs_reference_envelope,histogram,histogram.v2.r128_e1.single_hot,L2_operator_steady,warm,cuda_candidate_v2,cuda_candidate_v1,7.83872,9.0112,1.149575,9.841664,12.023296,1.221673,0.122195,0.130993,0,0,5,5
histogram_v2_vs_reference_envelope,histogram,histogram.v2.r128_e8.uniform,L2_operator_steady,warm,cuda_candidate_v2,cuda_candidate_v1,9.2672,8.79616,0.949171,11.744768,12.450816,1.060116,0.134026,0.155865,0,0,2,5
histogram_v2_vs_reference_envelope,histogram,histogram.v2.r32768_e64.uniform,L2_operator_steady,warm,cuda_candidate_v2,cuda_candidate_v1,16.8448,16.9984,1.009119,18.4704,17.79456,0.96341,0.197769,0.233072,0,0,4,5
histogram_v2_vs_reference_envelope,histogram,histogram.v2.r32768_e64.zipf14,L2_operator_steady,warm,cuda_candidate_v2,cuda_candidate_v1,16.8192,16.6912,0.99239,18.54464,18.60608,1.003313,0.218146,0.182666,0,0,1,5
histogram_v2_vs_reference_envelope,histogram,histogram.v2.r4096_e1.single_hot,L2_operator_steady,warm,cuda_candidate_v2,cuda_candidate_v1,8.05888,10.496,1.302414,9.222144,12.758016,1.383411,0.18796,0.197784,0,0,5,5
histogram_v2_vs_reference_envelope,histogram,histogram.v2.r4096_e64.uniform,L2_operator_steady,warm,cuda_candidate_v2,cuda_candidate_v1,10.6496,10.30144,0.967308,12.556288,13.164544,1.048442,0.163917,0.183236,0,0,1,5
histogram_v2_vs_reference_envelope,histogram,histogram.v2.r4096_e64.zipf14,L2_operator_steady,warm,cuda_candidate_v2,cuda_candidate_v1,10.42432,10.5984,1.016699,12.340224,12.362752,1.001826,0.191565,0.152763,0,0,4,5
